,Price,Make,Model,Year,Mileage,Fuel Type,Body Type,Engine Size (Litres),Power
371,19995.0,Nissan,X-Trail,2017,185000.0,Diesel,SUV,1.6,130.0
372,66890.0,Volkswagen,ID.4,2022,1.0,Electric,SUV,,
373,9999.0,Volkswagen,Jetta,2014,163000.0,Diesel,Saloon,1.6,105.0
374,12999.0,Mitsubishi,Outlander,2014,252000.0,Petrol Plug-in Hybrid,SUV,2.0,203.0
375,44900.0,Mercedes,E-Class,2019,70160.0,Diesel,Estate,2.0,194.0
376,1900.0,Toyota,Avensis,2008,330000.0,Petrol,Saloon,1.6,
377,21950.0,Mercedes,C-Class,2016,91165.0,Diesel,Saloon,1.6,116.0
379,5800.0,Hyundai,i40,2011,204386.18,Diesel,Estate,1.7,136.0
380,3750.0,Ford,Transit,2009,121000.0,Diesel,Van,2.2,
381,89950.0,BMW,X5,2019,56000.0,Diesel,SUV,3.0,265.0
382,29000.0,Renault,Captur,2022,,Petrol,Hatchback,1.0,90.0
383,,Renault,Master,2014,,Diesel,Van,2.3,
384,24900.0,Land Rover,Range Rover Evoque,2014,94357.0,Diesel,Estate,2.2,150.0
385,64900.0,Mercedes,E-Class,2022,3899.0,Diesel,Saloon,2.0,194.0
386,15200.0,Ford,Fiesta,2018,65211.0,Petrol,Hatchback,1.1,70.0
387,3000.0,Citroen,C4,2009,235429.0,Diesel,Hatchback,1.6,
389,18000.0,Mitsubishi,L200,2016,160934.0,Diesel,Pick Up,2.4,
390,18000.0,Mitsubishi,L200,2016,160934.0,Diesel,Pick Up,2.4,
391,11500.0,Volkswagen,Polo,2013,144840.6,Petrol,Hatchback,1.2,60.0
392,12950.0,Volkswagen,Golf,2013,114263.14,Petrol,Hatchback,1.2,85.0
393,11750.0,Volkswagen,Touran,2012,160934.0,Petrol,MPV,1.4,90.0
394,13750.0,Volvo,V40,2013,125528.52,Petrol,Hatchback,1.6,150.0
395,9950.0,Volkswagen,Golf,2011,160934.0,Petrol,Hatchback,1.4,122.0
396,11250.0,Volkswagen,Touran,2011,128747.2,Petrol,MPV,1.4,90.0
397,,Opel,Vivaro,2015,,Diesel,Van,1.6,
398,13950.0,Volkswagen,Golf,2013,75638.98,Petrol,Hatchback,1.4,122.0
399,5950.0,Audi,A3,2010,225307.6,Diesel,Hatchback,1.6,
400,17950.0,Ford,Focus,2019,130356.54,Diesel,Estate,1.5,120.0
401,6900.0,Citroen,Grand C4 Picasso,2011,139002.0,Diesel,MPV,1.6,
402,10950.0,Volkswagen,Golf,2012,80467.0,Petrol,Hatchback,1.2,85.0
403,11250.0,Volkswagen,Polo,2014,96560.4,Petrol,Hatchback,1.2,60.0
404,10500.0,Skoda,Octavia,2014,225307.6,Diesel,Saloon,1.6,105.0
405,13750.0,Volvo,V40,2013,112653.8,Petrol,Hatchback,1.6,150.0
407,5000.0,Citroen,C4,2011,,Diesel,Hatchback,1.6,92.0
408,29950.0,Volkswagen,T-Roc,2020,119551.0,Diesel,SUV,2.0,150.0
409,11500.0,Volkswagen,Golf,2013,80467.0,Petrol,Estate,1.2,85.0
410,35500.0,Ford,Kuga,2021,33796.14,Diesel,SUV,1.5,120.0
411,,Ford,Transit Custom,2017,167000.0,Diesel,Van,2.0,
412,9995.0,Peugeot,208,2015,64000.0,Petrol,Hatchback,1.0,68.0
413,14995.0,Renault,Trafic,2016,90000.0,Diesel,Van,1.6,
414,17495.0,Ford,Transit Custom,2018,177027.4,Diesel,Van,2.0,
415,39995.0,Opel,Grandland X,2019,44047.0,Petrol,MPV,1.2,
416,2995.0,Nissan,Bluebird,1986,157715.32,Petrol,Saloon,1.6,
417,1234.0,Renault,Master,2017,244500.0,Diesel,Crew Cab,2.3,
418,800.0,Ford,Focus,2006,260000.0,Petrol,Hatchback,1.4,
419,4950.0,SEAT,Leon,2011,210823.54,Diesel,Hatchback,1.6,105.0
420,5995.0,Honda,CR-V,2012,271.97846,Diesel,SUV,2.2,150.0
421,52990.0,Audi,A4,2022,15.0,Diesel,Saloon,2.0,
422,28995.0,Land Rover,Range Rover Evoque,2015,95207.0,Diesel,Estate,2.2,150.0
423,21495.0,Opel,Grandland X,2018,52489.0,Petrol,MPV,1.2,130.0
424,2999.0,Ford,Fiesta,2007,36679.0,Petrol,Hatchback,1.2,
425,1250.0,Vauxhall,Astra,2008,,Diesel,Hatchback,1.2,
426,8500.0,Volvo,V40,2013,192000.0,Diesel,Hatchback,1.6,115.0
427,26900.0,Ford,Kuga,2019,41000.0,Diesel,SUV,1.5,120.0
428,7750.0,BMW,5-Series,2011,354054.8,Diesel,Saloon,2.0,184.0
430,19831.5,Mercedes,E-Class,2016,151277.96,Diesel,Saloon,2.0,
431,1250.0,Nissan,Almera,2006,109858.0,Petrol,Saloon,1.5,
432,17000.0,Ford,Fiesta,2020,96000.0,Petrol,Hatchback,1.0,95.0
434,35895.0,Mercedes,GLA-Class,2018,39000.0,Diesel,SUV,2.1,
435,43449.0,Toyota,Camry,2021,22950.0,Hybrid,Saloon,2.5,218.0
436,78450.0,Toyota,Landcruiser,2022,10.0,Diesel,SUV,2.8,177.0
437,60949.0,Toyota,Landcruiser,2020,66950.0,Diesel,SUV,2.8,
439,10950.0,Mercedes,E-Class,2011,145003.0,Diesel,Saloon,2.1,136.0
441,48849.0,BMW,3-Series,2021,29950.0,Hybrid,Saloon,2.0,
442,22949.0,Toyota,Prius,2016,44950.0,Hybrid,Saloon,1.8,136.0
443,42949.0,Lexus,NX,2019,109850.0,Hybrid,Estate,2.5,197.0
444,20949.0,Ford,Fiesta,2019,9950.0,Petrol,Hatchback,1.0,100.0
445,19449.0,SEAT,Ibiza,2019,36950.0,Petrol,Hatchback,1.0,95.0
446,53949.0,Lexus,RX,2017,59950.0,Hybrid,SUV,3.5,313.0
447,50115.0,Toyota,Camry,2022,2.0,Hybrid,Saloon,2.5,218.0
448,44637.0,Toyota,Landcruiser,2022,3.0,Diesel,SUV,2.8,177.0
449,44650.0,Toyota,Landcruiser,2022,10.0,Diesel,SUV,2.8,
450,46045.0,Toyota,Landcruiser,2022,0.0,Diesel,SUV,2.8,177.0
451,19949.0,Toyota,Proace,2021,19950.0,Diesel,Van,1.5,
452,23449.0,Toyota,Yaris,2022,6.0,Petrol,Hatchback,1.0,72.0
453,51795.0,BMW,7-Series,2018,48950.0,Hybrid,Saloon,2.0,
454,21949.0,Toyota,Corolla,2019,39950.0,Petrol,Saloon,1.6,132.0
455,18449.0,Toyota,Auris,2017,43950.0,Petrol,Hatchback,1.2,116.0
456,51949.0,Toyota,Landcruiser,2018,108950.0,Diesel,SUV,2.8,177.0
457,68449.0,Toyota,Highlander,2021,29950.0,Hybrid,MPV,2.5,246.0
458,19949.0,Toyota,Avensis,2016,64950.0,Petrol,Saloon,1.8,147.0
459,22449.0,Mitsubishi,Eclipse Cross,2019,51950.0,Petrol,Estate,1.5,163.0
460,27449.0,Nissan,Qashqai,2020,49950.0,Petrol,MPV,1.3,160.0
461,16249.0,Hyundai,i10,2021,7950.0,Petrol,Hatchback,1.0,67.0
462,48849.0,BMW,3-Series,2021,29950.0,Hybrid,Saloon,2.0,
463,29950.0,Land Rover,Range Rover,2011,186683.44,Diesel,SUV,4.4,
464,22949.0,Toyota,C-HR,2017,44950.0,Petrol,SUV,1.2,116.0
465,40949.0,Lexus,NX,2018,109950.0,Hybrid,SUV,2.5,197.0
466,115949.0,Lexus,LC,2021,14950.0,Hybrid,Coupe,3.5,359.0
467,16949.0,Toyota,Corolla,2016,74950.0,Diesel,Saloon,1.4,90.0
468,28749.0,Toyota,RAV4,2018,89950.0,Hybrid,SUV,2.5,197.0
469,16949.0,Peugeot,2008,2018,56950.0,Petrol,SUV,1.2,82.0
470,25449.0,SEAT,Arona,2020,21950.0,Petrol,SUV,1.0,115.0
471,13981.5,Audi,Q5,2013,170013.8963,Diesel,Estate,2.0,
472,19850.0,Dacia,Sandero,2022,50.0,Dual Fuel,Hatchback,1.0,100.0
473,18949.0,Toyota,Auris,2017,19950.0,Petrol,Hatchback,1.2,116.0
474,33749.0,Toyota,Landcruiser,2019,99000.0,Diesel,SUV,2.8,
476,13949.0,Toyota,Aygo,2019,27000.0,Petrol,Hatchback,1.0,72.0
477,51795.0,BMW,7-Series,2018,48950.0,Petrol,Saloon,2.0,326.0
478,18949.0,Toyota,Yaris,2020,5950.0,Petrol,Hatchback,1.0,72.0
479,33749.0,Toyota,Landcruiser,2019,58950.0,Diesel,SUV,2.8,
480,,Volvo,XC40,2018,67576.0,Petrol,SUV,1.5,156.0
481,44019.0,Audi,A3,2022,15.0,Diesel,Hatchback,2.0,
482,32500.0,Volkswagen,T-Roc,2021,37290.0,Petrol,SUV,1.5,150.0
483,,Renault,Megane,2016,112522.0,Diesel,Hatchback,1.5,110.0
484,13500.0,Mini,ONE,2014,111044.46,Diesel,Hatchback,1.5,
485,33450.0,BMW,5-Series,2017,157000.0,Diesel,Saloon,2.0,190.0
486,7990.0,Nissan,Micra,2016,82152.0,Petrol,Hatchback,1.2,80.0
487,25995.0,Volkswagen,Passat,2018,49450.0,Petrol,Saloon,1.4,125.0
488,27950.0,Ford,Ranger,2017,81000.0,Diesel,Pick Up,3.2,
489,,Ford,Transit,2021,53000.0,Diesel,Van,1.5,
490,13250.0,Renault,Captur,2016,72618.24882,Petrol,SUV,0.9,
491,29500.0,Lexus,NX,2016,70000.0,Petrol Hybrid,SUV,2.5,197.0
492,14500.0,Volkswagen,Caddy,2019,75000.0,Diesel,MPV,2.0,
493,2995.0,Ford,Focus,2009,281750.0,Diesel,Hatchback,1.8,
494,36000.0,Toyota,Hilux,2018,77000.0,Diesel,Pick Up,2.4,
495,32000.0,Ford,Transit Custom,2022,100.0,Diesel,Van,2.0,
496,3550.0,Peugeot,308,2010,164152.68,Diesel,Hatchback,1.6,
497,24000.0,Hyundai,Tucson,2018,79581.863,Diesel,SUV,1.7,115.0
498,11500.0,Hyundai,i10,2019,59240.0,Petrol,Hatchback,1.0,66.0
499,5300.0,Opel,Astra,2011,291000.0,Diesel,Hatchback,1.2,95.0
500,5700.0,Peugeot,308,2011,201111.0,Diesel,Hatchback,1.6,92.0
501,35000.0,Volkswagen,Arteon,2019,74000.0,Diesel,Hatchback,2.0,190.0
502,58000.0,BMW,E30 M3,1986,222000.0,Petrol,Coupe,2.3,
503,3950.0,Opel,Corsa,2010,104000.0,Petrol,Hatchback,1.2,
504,,Citroen,Berlingo,2022,35.0,Diesel,Van,1.5,
505,32950.0,Hyundai,Tucson,2019,68000.0,Diesel,SUV,1.6,115.0
506,25950.0,Toyota,Corolla,2020,42799.0,Hybrid,Saloon,1.8,122.0
507,9250.0,Opel,Astra,2014,78600.0,Diesel,Hatchback,1.2,95.0
508,8900.0,Dacia,Sandero,2015,91000.0,Petrol,Hatchback,1.1,75.0
509,4900.0,Peugeot,207,2010,277400.0,Diesel,Hatchback,1.4,
510,7900.0,Renault,Fluence,2012,192413.0,Diesel,Saloon,1.5,90.0
511,5995.0,BMW,3-Series,2010,255000.0,Petrol,Saloon,2.0,
512,4600.0,Mini,Cooper,2008,204000.0,Petrol,Hatchback,1.6,
514,29995.0,Mazda,CX-5,2019,43000.0,Diesel,SUV,2.2,150.0
515,10900.0,Opel,Adam,2015,112000.0,Petrol,Hatchback,1.4,100.0
516,21995.0,Audi,A4,2017,136793.9,Diesel,Saloon,2.0,150.0
517,11450.0,Volkswagen,Polo,2014,74000.0,Petrol,Hatchback,1.2,
518,25250.0,Volkswagen,Golf,2016,63000.0,Petrol,Hatchback,2.0,300.0
519,14950.0,Toyota,Aqua,2019,86000.0,Petrol Hybrid,Hatchback,1.5,
520,13750.0,Nissan,Note,2017,100000.0,Petrol Hybrid,Hatchback,1.2,
521,12250.0,Honda,Fit,2015,60000.0,Petrol Hybrid,Hatchback,1.5,
522,8750.0,Mazda,2,2014,105000.0,Petrol,Hatchback,1.3,63.0
523,16995.0,Opel,Insignia,2017,115872.48,Diesel,Saloon,1.6,
524,23495.0,BMW,4-Series,2016,165762.02,Diesel,Coupe,2.0,190.0
525,11495.0,Toyota,Yaris,2017,92000.0,Petrol,Hatchback,1.0,68.0
526,4500.0,Ford,Focus,2011,231744.96,Diesel,Hatchback,1.6,109.0
527,18300.0,Opel,Vivaro,2019,49000.0,Diesel,Van,1.6,
528,7995.0,Mazda,2,2013,36000.0,Petrol,Hatchback,1.3,
529,28500.0,Lexus,NX,2015,74000.0,Petrol Hybrid,SUV,2.5,197.0
530,14495.0,Honda,Fit,2017,76000.0,Petrol Hybrid,Hatchback,1.5,
533,38000.0,Volkswagen,Caddy,2022,,Diesel,MPV,2.0,
534,23500.0,BMW,4-Series,2016,149669.0,Diesel,Saloon,2.0,190.0
535,12950.0,Nissan,Micra,2019,29000.0,Petrol,Hatchback,1.2,80.0
536,899.0,Citroen,Xsara,2005,298127.0,Petrol,MPV,1.6,
537,6700.0,Volkswagen,Golf,2011,241401.0,Diesel,Hatchback,1.6,105.0
538,35500.0,BMW,5-Series,2018,93536.45014,Diesel,Saloon,2.0,190.0
539,25500.0,Ford,Kuga,2018,73521.0,Diesel,SUV,1.5,120.0
540,28942.0,Volkswagen,Polo,2023,,Petrol,Hatchback,1.0,
541,4200.0,Opel,Combo,2014,202776.84,Diesel,Van,1.2,
542,2800.0,Audi,A4,2008,340000.0,Diesel,Saloon,2.0,
543,13995.0,Volkswagen,Polo,2015,119000.0,Petrol,Hatchback,1.2,90.0
544,23450.0,Nissan,Qashqai,2019,46085.0,Petrol,SUV,1.3,160.0
545,8750.0,Ford,C-MAX,2014,157715.32,Diesel,MPV,1.6,95.0
546,29950.0,Land Rover,Range Rover,2011,186683.44,Diesel,SUV,4.4,
547,19950.0,Toyota,Proace,2019,69000.0,Diesel,MPV,2.0,
548,14500.0,BMW,1-Series,2013,137000.0,Petrol,Hatchback,1.6,136.0
549,42950.0,BMW,5-Series,2019,110239.79,Diesel,Saloon,2.0,190.0
550,39946.0,Mercedes,E-Class,2017,57400.0,Diesel,Coupe,2.0,194.0
551,,Nissan,NV300,2019,57161.0,Diesel,Van,1.6,
552,22750.0,KIA,Optima,2019,112353.0,Diesel,Saloon,1.6,136.0
553,16990.0,Toyota,Vitz,2019,69700.5154,Petrol,Hatchback,1.0,68.0
554,16499.0,Fiat,500,2019,24944.77,Petrol,Hatchback,1.2,
555,18500.0,Nissan,Qashqai,2016,73000.0,Diesel,Hatchback,1.5,110.0
556,38950.0,Volkswagen,Tiguan,2021,19500.0,Diesel,SUV,2.0,150.0
557,18950.0,Mazda,6,2018,142320.3736,Diesel,Saloon,2.2,150.0
559,28900.0,Ford,Galaxy,2017,112000.0,Diesel,MPV,2.0,180.0
560,31000.0,Ford,Focus,2022,100.0,Petrol,Estate,1.0,125.0
562,45950.0,Land Rover,Discovery,2019,73249.0,Diesel,SUV,3.0,
563,28950.0,BMW,4-Series,2015,167371.36,Diesel,Coupe,3.0,313.0
564,9600.0,Nissan,Note,2017,79201.0,Petrol,MPV,1.2,80.0
565,1350.0,KIA,RIO,2006,310602.62,Diesel,Hatchback,1.5,
566,,Suzuki,SX4 S-Cross,2022,,Hybrid,Crossover,1.4,
567,25495.0,Nissan,Qashqai,2018,39500.0,Petrol,MPV,1.2,
570,2150.0,Renault,Kangoo,2006,193000.0,Petrol,MPV,1.1,
572,,BMW,2-Series,2022,,Petrol,Saloon,1.5,140.0
573,16900.0,Ford,Kuga,2016,144800.0,Diesel,SUV,2.0,120.0
574,24950.0,Land Rover,Defender,2008,144840.6,Diesel,SUV,2.4,
575,2899.0,Citroen,Grand C4 Picasso,2007,193121.0,Diesel,MPV,1.6,
576,12500.0,Toyota,Aqua,2016,95000.0,Petrol Hybrid,Hatchback,1.5,
577,10950.0,KIA,ProCeed,2013,148059.28,Diesel,Hatchback,1.6,128.0
578,27995.0,Audi,A5,2017,132000.0,Diesel,Coupe,2.0,190.0
579,3700.0,Vauxhall,Corsa,2010,104832.0,Petrol,Hatchback,1.0,
580,,Opel,Crossland X,2021,34720.0,Petrol,SUV,1.2,83.0
582,13250.0,Scania,144 460,2003,100000.0,Diesel,Van,8.0,
583,12945.0,Ford,Fiesta,2016,136237.0,Diesel,Hatchback,1.5,85.0
584,20995.0,Renault,Master,2022,64000.0,Diesel,Van,2.3,
585,35950.0,BMW,X5,2015,145000.0,Diesel,SUV,2.0,231.0
586,35000.0,Ford,Focus,2003,138403.24,Petrol,Hatchback,2.0,
587,60950.0,BMW,5-Series,2022,270.0,Diesel,Saloon,2.0,190.0
588,2350.0,Opel,Astra,2008,202650.0,Petrol,Hatchback,1.4,
589,43950.0,Land Rover,Discovery Sport,2018,72000.0,Diesel,SUV,2.0,150.0
590,18750.0,Honda,Integra,2003,120000.0,Petrol,Coupe,2.0,
591,7950.0,Nissan,Qashqai,2013,210269.927,Diesel,Hatchback,1.5,110.0
592,98900.0,Jaguar,I-PACE,2022,1000.0,Electric,Estate,,
593,18000.0,Ford,Fiesta,2019,22000.0,Petrol,Hatchback,1.1,85.0
594,12495.0,Volkswagen,Passat,2014,90886.0,Diesel,Saloon,1.6,105.0
595,11450.0,Ford,Focus,2015,212000.0,Diesel,Hatchback,1.6,95.0
597,10950.0,Ford,Transit,2017,195455.0,Diesel,Van,1.5,
598,,Volkswagen,Golf,2017,217000.0,Diesel,Van,1.6,
599,5999.0,Suzuki,SX4,2010,160934.0,Diesel,SUV,1.6,
601,29295.0,Hyundai,Kona,2022,0.0,Petrol,Crossover,1.0,
602,15999.0,Skoda,Octavia,2017,150000.0,Diesel,Estate,1.6,115.0
603,3295.0,Ford,Focus,2008,201000.0,Petrol,Hatchback,1.4,
604,2995.0,Nissan,Note,2008,162000.0,Petrol,MPV,1.4,
605,,Volkswagen,Golf,2017,217074.0,Diesel,Van,1.6,90.0
606,14000.0,Ford,Fiesta,2017,55494.0,Petrol,Hatchback,1.2,60.0
607,34900.0,KIA,Sportage,2022,12000.0,Diesel,SUV,1.6,115.0
608,34950.0,Audi,A4,2019,38500.0,Diesel,Saloon,2.0,150.0
609,1750.0,Toyota,Yaris,2006,207000.0,Petrol,Hatchback,1.0,
611,11900.0,Ford,Mondeo,2015,178000.0,Diesel,Hatchback,1.6,115.0
613,21950.0,Ford,Transit,2017,70810.96,Diesel,Van,2.0,
614,16750.0,BMW,5-Series,2015,,Diesel,Saloon,2.0,190.0
615,16000.0,Land Rover,Defender,2006,343024.0,Diesel,SUV,2.5,
616,15500.0,Vauxhall,Mokka,2018,71000.0,Petrol,Hatchback,1.4,
617,36950.0,Honda,CR-V,2019,71870.0,Hybrid,SUV,2.0,
618,11995.0,Mini,First,2013,85787.0,Petrol,Hatchback,1.6,
619,39995.0,Hyundai,Tucson,2022,,Diesel,SUV,1.6,115.0
620,2450.0,Ford,Transit,2004,281352.8655,Diesel,Van,2.4,
621,7450.0,Ford,Transit Custom,2013,210352.0,Diesel,Van,2.2,
622,7750.0,Citroen,Berlingo,2015,166083.888,Diesel,Van,1.6,
623,2450.0,Mercedes,E-Class,2007,236000.0,Petrol,Saloon,1.8,
624,11950.0,Toyota,Hilux,2009,195680.0,Diesel,Crew Cab,3.0,
625,2950.0,Lexus,IS,2009,351000.0,Diesel,Saloon,2.2,
626,2950.0,Ford,Focus,2008,292899.88,Diesel,Hatchback,1.8,
627,5950.0,Ford,Transit,2013,194718.0,Diesel,Van,2.2,
628,7495.0,Volkswagen,Golf,2008,324000.0,Petrol,Hatchback,2.0,
629,12950.0,BMW,7-Series,2011,256000.0,Diesel,Saloon,3.0,245.0
630,,Ford,Transit,2009,0.0,Diesel,Van,2.2,
632,2950.0,Nissan,Tiida,2010,185083.0,Diesel,Saloon,1.5,
633,18000.0,Ford,Fiesta,2018,6000.0,Petrol,Hatchback,1.1,85.0
634,16900.0,KIA,Ceed,2016,57000.0,Diesel,Hatchback,1.6,136.0
635,19945.0,Ford,Focus,2019,53931.0,Petrol,Hatchback,1.0,
636,19950.0,Hyundai,Tucson,2018,198000.0,Diesel,SUV,1.7,115.0
637,1995.0,Citroen,C8,2006,240000.0,Diesel,MPV,2.0,
639,5900.0,Nissan,Juke,2012,225307.6,Diesel,SUV,1.5,110.0
640,1795.0,Ford,Focus,2005,229000.0,Petrol,Hatchback,1.4,
641,14495.0,Dacia,Duster,2017,132000.0,Diesel,SUV,1.5,110.0
642,9000.0,Mazda,3,2015,192712.0,Diesel,Saloon,2.2,150.0
643,34950.0,Volkswagen,Tiguan,2019,72358.0,Diesel,SUV,2.0,115.0
644,4999.0,Peugeot,Partner,2014,230135.62,Diesel,Van,1.6,
645,25900.0,Volvo,XC60,2017,147622.0,Diesel,SUV,2.0,150.0
646,29995.0,Mazda,CX-5,2018,80228.0,Diesel,SUV,2.2,150.0
648,5950.0,Mercedes,Sprinter,2011,506942.1,Diesel,Van,2.1,
650,48500.0,Ford,Mustang,2018,22283.0,Petrol,Coupe,2.3,317.0
651,7500.0,Toyota,Prius,2011,,Petrol Hybrid,Hatchback,1.8,136.0
652,9900.0,Audi,Q7,2008,223698.26,Diesel,SUV,3.0,
653,23750.0,Audi,A5,2014,151277.96,Diesel,Hatchback,2.0,177.0
654,10950.0,Hyundai,i30,2015,152533.2452,Diesel,Hatchback,1.6,110.0
655,5250.0,Peugeot,Partner,2013,181356.5246,Diesel,MPV,1.6,
656,9500.0,Peugeot,308,2017,174000.0,Diesel,Van,1.6,
657,25000.0,BMW,5-Series,2016,80000.0,Diesel,Saloon,2.0,190.0
658,5995.0,Hyundai,ix35,2010,288000.0,Diesel,SUV,2.0,
659,16995.0,Audi,A3,2016,171000.0,Diesel,Saloon,1.6,110.0
660,9995.0,Honda,Jazz,2014,61813.14006,Petrol,Hatchback,1.3,99.0
661,4995.0,Opel,Meriva,2012,202000.0,Diesel,MPV,1.2,95.0
662,6995.0,Hyundai,i30,2012,231744.96,Diesel,Hatchback,1.6,90.0
663,12495.0,Audi,A4,2014,245000.0,Diesel,Saloon,2.0,120.0
664,7995.0,Hyundai,ix35,2012,225000.0,Diesel,SUV,1.7,115.0
665,12900.0,Toyota,Vitz,2017,119091.16,Petrol,Hatchback,1.5,111.0
666,12900.0,Toyota,Vitz,2017,119091.16,Petrol,Hatchback,1.5,111.0
667,6450.0,Mitsubishi,Lancer,2013,207604.86,Diesel,Saloon,1.8,150.0
668,14500.0,BMW,3-Series,2015,153336.0,Diesel,Saloon,2.0,116.0
669,8900.0,Honda,Jazz,2013,46670.86,Petrol,Hatchback,1.3,
670,8900.0,Mazda,Demio,2014,77248.32,Petrol,Hatchback,1.3,63.0
671,8900.0,Honda,Fit,2013,46670.86,Petrol,Hatchback,1.3,
672,8900.0,Mazda,2,2014,77248.32,Petrol,Hatchback,1.3,63.0
674,14500.0,Nissan,Note,2017,121001.0,Hybrid,Hatchback,1.2,
675,17950.0,Mercedes,A-Class,2014,91732.38,Petrol,Hatchback,1.6,156.0
676,15500.0,Ford,Fiesta,2017,62000.0,Petrol,Hatchback,1.1,85.0
677,9400.0,Volkswagen,Polo,2013,64373.6,Petrol,Hatchback,1.2,60.0
678,6900.0,Nissan,Micra,2013,94951.06,Petrol,Hatchback,1.2,80.0
679,30750.0,Mitsubishi,L200,2018,120701.0,Diesel,Van,2.4,
680,38540.0,Nissan,Leaf,2022,0.0,Electric,Hatchback,,
681,4999.0,Peugeot,Partner,2014,230135.62,Diesel,Van,1.6,
682,11950.0,Audi,A3,2012,159324.66,Diesel,Hatchback,2.0,170.0
683,25558.0,Renault,Clio,2022,0.0,Petrol,Hatchback,1.0,72.0
684,27900.0,KIA,Sportage,2021,32163.0,Hybrid,SUV,1.6,136.0
685,23950.0,Renault,Captur,2020,18000.0,Petrol,Hatchback,1.0,100.0
687,5500.0,Volkswagen,Passat,2012,313748.8797,Diesel,Saloon,1.6,105.0
688,,BMW,5-Series,2022,12874.72,Hybrid,Saloon,2.0,
689,13500.0,BMW,3-Series,2013,143657.7351,Diesel,Estate,2.0,116.0
690,16900.0,Volkswagen,Touareg,2011,217349.4137,Diesel,SUV,3.0,204.0
691,17500.0,KIA,Sportage,2017,222000.0,Diesel,SUV,1.7,115.0
692,4250.0,BMW,X5,2005,362101.5,Diesel,SUV,3.0,
693,10500.0,Volkswagen,Golf,2013,160111.6273,Diesel,Hatchback,1.6,90.0
694,10500.0,Audi,A5,2011,207009.4042,Diesel,Hatchback,2.0,143.0
695,9250.0,Opel,Astra,2014,80922.44322,Petrol,Hatchback,1.6,
696,3200.0,Volkswagen,Golf,2008,,Diesel,Hatchback,1.9,
697,19129.5,Mercedes,C-Class,2016,56326.9,Petrol,Saloon,2.0,
698,18900.0,Nissan,Qashqai,2018,90000.0,Diesel,Hatchback,1.5,110.0
699,26000.0,Ford,Kuga,2019,63000.0,Diesel,SUV,1.5,120.0
700,12000.0,Jaguar,XF,2013,210823.54,Diesel,Saloon,2.2,
701,,Volkswagen,Amarok,2020,64458.89502,Diesel,Pick Up,3.0,
702,1850.0,Opel,Astra,2006,136249.0,Petrol,Hatchback,1.4,
703,27000.0,Dacia,Jogger,2022,10.0,Petrol,MPV,1.0,110.0
704,24950.0,SEAT,Leon,2016,148059.28,Petrol,Hatchback,2.0,280.0
705,12995.0,Audi,A1,2013,72420.3,Petrol,Hatchback,1.4,122.0
706,18975.0,Ford,Fiesta,2020,44725.0,Petrol,Hatchback,1.0,100.0
707,17495.0,Volkswagen,Polo,2019,35085.0,Petrol,Hatchback,1.0,65.0
710,4950.0,Volkswagen,Caddy,2012,136793.9,Diesel,Van,1.6,
711,7495.0,Mazda,MX-5,2007,134000.0,Petrol,Cabriolet,1.8,
712,9950.0,Renault,Megane,2016,75000.0,Diesel,Hatchback,1.5,95.0
713,5750.0,Mercedes,C-Class,2010,354054.8,Diesel,Saloon,2.1,
714,8950.0,Renault,Master,2014,297727.9,Diesel,Van,2.3,
715,27950.0,Mercedes,Sprinter,2020,96560.4,Diesel,Van,2.1,
716,8950.0,Ford,Transit,2014,321868.0,Diesel,Van,2.2,
717,19950.0,Volkswagen,Golf,2015,160934.0,Diesel,Estate,2.0,184.0
719,6250.0,Volkswagen,Crafter,2010,225307.6,Diesel,Van,2.5,
720,65950.0,Mercedes,E-Class,2021,46652.0,Hybrid,Estate,2.0,306.0
721,17500.0,Ford,Fiesta,2019,65000.0,Petrol,Hatchback,1.1,85.0
723,6950.0,Ford,Transit,2014,273587.8,Diesel,Van,2.2,
724,2450.0,Ford,Focus,2009,209214.2,Petrol,Saloon,1.6,
725,22950.0,Audi,A3,2016,80467.0,Diesel,Saloon,1.6,110.0
726,9900.0,SEAT,Leon,2015,241401.0,Diesel,Hatchback,1.6,105.0
727,2550.0,Ford,Mondeo,2008,231744.96,Diesel,Hatchback,1.8,
728,4250.0,Renault,Scenic,2011,273587.8,Diesel,MPV,1.5,110.0
729,17950.0,Volvo,V40,2018,112653.8,Diesel,Hatchback,2.0,120.0
730,11950.0,Isuzu,Other,2014,206000.0,Diesel,Van,3.0,
731,5950.0,Ford,Transit,2011,125000.0,Diesel,Van,2.2,
732,11950.0,Ford,Transit Custom,2015,241401.0,Diesel,Van,2.2,
735,5450.0,Ford,Transit,2011,225307.6,Diesel,Van,2.4,
736,6950.0,Ford,Transit,2013,289681.2,Diesel,Van,2.2,
737,13950.0,Volvo,S60,2015,203275.7354,Diesel,Saloon,2.0,120.0
738,27300.0,Renault,Trafic,2021,46787.0,Diesel,Van,2.0,
739,13499.0,Volkswagen,Golf,2014,150751.0,Diesel,Estate,1.6,105.0
740,9450.0,Ford,Focus,2013,96560.4,Petrol,Hatchback,1.0,100.0
741,12950.0,Toyota,Aqua,2016,131000.0,Petrol Hybrid,Hatchback,1.5,
742,11250.0,Ford,Transit Connect,2015,249447.7,Diesel,Van,1.6,
743,11950.0,Volkswagen,Polo,2015,41842.84,Petrol,Hatchback,1.2,90.0
