,Name,Price,Make,Model,Trim,Trim Level,Year,Mileage,Fuel Type,Transmission,Body Type,Engine Size (Litres),Power,Acceleration (0-100 km/h),Seats,Doors,Colour,Country of Registration,Previous Owners,Road Tax,NCT Expiry,EURO NCAP Safety Rating,Warranty,Battery Capacity,Horsepower,Machinery Type,Battery Range (up to)
326,Volkswagen Golf 2.0 TDI GTD  manual  Low Km s,"€29,800",Volkswagen,Golf,GTD,Sports Trim,2018,"79,854 km",Diesel,Manual,Hatchback,2.0 litre,184hp,7.5 sec,5,5,Grey,Ireland,1,270,Jan 2024,5/5,Available,,,,
327,Volvo XC90 B5 AWD Momentum PRO AT 5DR Auto,"€74,900",Volvo,XC90,Momentum,Base Trim,2020,"33,460 km",Diesel,Automatic,MPV,2.0 litre,235hp,7.6 sec,7,5,Black,Ireland,1,390,Sep 2024,5/5,Available,,,,
328,BMW 5 Series 520d M Sport Mhev Auto,"€58,900",BMW,5-Series,---,---,2021,"7,987 km",Hybrid,Automatic,Saloon,2.0 litre,---,---,---,4,Black,UK,1,---,---,---,,---,,,
329,Opel GRANDLAND X SRi 1.2i 130PS 6 Speed,"€23,495",Opel,Grandland X,SRi,Medium Trim,2018,"71,797 km",Petrol,Manual,MPV,1.2 litre,130hp,11.1 sec,5,4,White,Ireland,2,200,May 2022,5/5,Available,,,,
330,Toyota Yaris Icon CVT 5DR Auto 1.5icon Vvt-i A,"€16,950",Toyota,Yaris,---,Medium Trim,2016,"96,419 km",Hybrid,Automatic,Hatchback,1.5 litre,100hp,11.8 sec,5,5,Grey,Ireland,1,170,May 2022,5/5,Available,---,,,
331,Cupra Formentor Formentor Formentor 1.5 TSI 150,No Price,CUPRA,FORMENTOR,---,---,2022,---,Petrol,Manual,SUV,1.5 litre,---,---,---,5,Grey,Ireland,1,---,---,---,,,,,
332,Toyota Aqua 2016 Hybrid Automatic,"€9,950",Toyota,Aqua,---,Base Trim,2016,"72,000 mi",Petrol Hybrid,Automatic,Hatchback,1.5 litre,112hp,10.9 sec,5,5,Silver,Ireland,---,150,May 2024,---,,---,,,
333,Mercedes-Benz E-Class 2012,"£7,950",Mercedes-Benz,E-Class,Avantgarde,Sports Trim,2012,"87,386 mi",Diesel,Automatic,Saloon,2.1 litre,136hp,10.4 sec,5,4,Grey,United Kingdom,2,---,---,---,,,,,
334,Hyundai Veloster 2012,"€7,250",Hyundai,Veloster,---,Base Trim,2012,"116,000 km",Petrol,Manual,Hatchback,1.6 litre,140hp,9.7 sec,4,3,Red,Ireland,2,280,---,---,,,,,
335,Daf 75 cf,"€16,250",New Holland,Other,,,2006,600 km,Diesel,---,Agricultural Tractor,0.1 litre,,,,,,,,,,,,,320,,
336,MG HS PHEV Exclusive With Black MG Styling Pack 1,"€47,225",MG,HS PHEV,---,---,2022,0 km,Hybrid,Automatic,SUV,1.5 litre,---,---,---,5,Blue,Other,---,---,---,---,Available,---,,,
337,"UNIVERSAL SEAT BASES  LEATHER, FABRIC HALF/HALF",€1,.,.,,,2022,---,---,---,---,---,,,,,,,,,,,,,---,,
338,Hyundai i10,"€3,700",Hyundai,i10,,,2010,135 km,Petrol,Manual,Hatchback,1.2 litre,,,---,5,Red,Ireland,4,200,Jun 2023,,,,,,
339,"Mercedes-Benz  Vito , 2017","€11,950",Mercedes-Benz,Other,,,2017,"165,000 mi",Diesel,Manual,Van,1.6 litre,,,3,,,,,,,,,,,,
340,2019 MITSUBISHI L200 WARRIOR *AUTO*,"€26,100",Mitsubishi,L200,,,2019,"69,000 mi",Diesel,Automatic,Double Cab Pickup,2.4 litre,,,5,,,,,,,,,,,,
341,Volkswagen Arteon 2.0 TDI R Line 150PS 4D,"€34,950",Volkswagen,Arteon,R-Line,Luxury Trim,2019,"82,500 km",Diesel,Manual,Hatchback,2.0 litre,150hp,9.4 sec,5,5,Black,Ireland,1,190,---,---,Available,,,,
342,Ford Focus 1.6 TDCI Style 2009,"€2,750",Ford,Focus,,,2009,"250,000 km",Diesel,---,Hatchback,1.6 litre,,,5,---,Blue,Ireland,3,200,Mar 2023,,,,,,
343,2013 ford focus 1.0 ecoboost,"€8,500",Ford,Focus,ZETEC,Sports Trim,2013,106 km,Petrol,Manual,Hatchback,1.0 litre,100hp,12.5 sec,6,5,Black,Ireland,1,200,Jul 2024,5/5,Available,,,,
344,Audi Q5 S-line Digital Dash Ambient Lighting  inc,€1,Audi,Q5,---,---,2022,---,Diesel,Automatic,SUV,2.0 litre,---,---,---,---,---,Ireland,1,---,---,---,Available,,,,
345,JCB teleporter / Forklift,"£27,750",Other,,,,,,,,,,,,,,,,,,,,,,,Forklifts,
346,BMW 1-Series Auto,"€12,500",BMW,1-Series,SE,Medium Trim,2015,"150,000 mi",Diesel,Automatic,Hatchback,1.5 litre,116hp,10.3 sec,5,4,Silver,Ireland,2,180,---,---,,,,,
347,Skoda Kamiq 1.0 TSi Ambition 110bhp  In Stock  Ne,"€26,960",Skoda,KAMIQ,---,---,2021,20 km,Petrol,Manual,SUV,1.0 litre,---,---,---,5,Silver,Other,---,200,---,---,Available,,,,
348,Dispatch/12 months cvrt/ new timing belt,"€9,995",Citroen,Dispatch,---,---,2016,"168,000 km",Diesel,Manual,Van,1.6 litre,---,---,3,---,White,Ireland,---,333,---,---,Available,,,,
349,Volkswagen Polo 1.2 AUTO 3 MONTH WARRANTY ✅,"€11,499",Volkswagen,Polo,Comfortline,Medium Trim,2015,"93,000 mi",Petrol,Automatic,Hatchback,1.2 litre,90hp,11.4 sec,5,5,Grey,Ireland,2,190,May 2023,5/5,,,,,
350,2018 BMW 520D M Sport M Performance Auto,"€34,950",BMW,5-Series,M Sport,Sports Trim,2018,"65,000 mi",Diesel,Automatic,Saloon,2.0 litre,190hp,7.5 sec,5,4,Grey,Ireland,1,190,Jan 2024,---,,,,,
351,E200 AUTOMATIC/NEW 15MONTH NCT,"€8,750",Mercedes-Benz,E-Class,,,2010,"261,000 km",Diesel,Automatic,Saloon,2.1 litre,,,5,4,Silver,Ireland,---,390,Dec 2023,,Available,,,,
352,ORIGINAL MERCEDES RADIOS,€150,Mercedes-Benz,200,,,1990,"123,568 km",Petrol,---,Estate,2.0 litre,,,,,,,,,,,,,,,
353,Ford Fiesta 1.1l 85 PS Titanium,"€17,900",Ford,Fiesta,Titanium,Medium Trim,2019,"55,919 km",Petrol,Manual,Hatchback,1.1 litre,85hp,14.0 sec,5,4,Grey,Ireland,1,200,Jan 2023,5/5,Available,,,,
354,2016 Astra Diesel 136hp. TOP SPEC .Tax and New Nct,"€10,000",Vauxhall,Astra,---,---,2016,"100,000 mi",Diesel,---,Hatchback,1.6 litre,---,---,5,---,Blue,Ireland,1,190,Oct 2024,---,,,,,
355,2015 Volkswagen Polo - 1.4 TDI,"€9,750",Volkswagen,Polo,Trendline,Base Trim,2015,"130,000 mi",Diesel,Manual,Hatchback,1.4 litre,75hp,12.9 sec,5,5,Grey,Ireland,3,180,Aug 2023,5/5,,,,,
356,Ford transit 2014 lwb shr,"€6,750",Ford,Transit,,,2014,380 km,Diesel,Manual,Van,2.2 litre,,,3,,,,,,,,,,,,
357,WHITE STUNNER/1.4 DIESEL €50 PW,"€12,995",Hyundai,i20,---,---,2017,"99,896 mi",Diesel,Manual,Hatchback,1.4 litre,---,---,5,5,White,Ireland,2,200,Sep 2024,---,12 Month,,,,
358,Renault KADJAR Dynamique S NAV Energy,"€21,995",Renault,Kadjar,Dynamique S Nav,Medium Trim,2018,"88,465 km",Diesel,Manual,SUV,1.5 litre,110hp,11.9 sec,5,4,Grey,Ireland,2,190,Feb 2022,---,Available,,,,
359,91 Nissan Figero,"€8,000",Nissan,Other,,,1991,"95,000 km",Petrol,---,Coupe,1.0 litre,,,,,,,,,,,,,,,
360,BMW 5-Series 2011,"€8,000",BMW,5-Series,M Sport,Sports Trim,2011,"227,552 km",Diesel,Automatic,Saloon,2.0 litre,184hp,8.1 sec,5,4,Blue,Ireland,2,280,Sep 2022,---,,,,,
361,BMW 5-Series 2016,"€29,950",BMW,5-Series,M SPORT,Sports Trim,2016,"65,000 mi",Diesel,Automatic,Saloon,2.0 litre,190hp,7.7 sec,5,4,White,Ireland,1,200,Mar 2024,---,,,,,
362,Volkswagen Caddy 2012,"€5,000",Volkswagen,Caddy,,,2012,"204,000 km",Diesel,Manual,MPV,1.6 litre,,,2,,,,,,,,,,,,
363,2010 MINI COOPER CLUBMAN  MINT CONDTION,"€6,950",Mini,Cooper,,,2010,"96,000 km",Diesel,Manual,Hatchback,1.6 litre,,,---,5,White,Ireland,3,190,Apr 2023,,,,,,
364,Nissan NV300 Nv300 LWB 120 SV AC Ex VAT Price,"€17,100",Nissan,NV300,,,2017,"97,505 km",Diesel,Manual,Van,1.6 litre,,,---,,,,,,,,,,,,
365,Volkswagen Golf 1996,"€1,000",Volkswagen,Golf,,,1996,---,Petrol,Manual,Hatchback,1.6 litre,,,5,5,Blue,United Kingdom,5,---,---,,,,,,
366,Mk6 Volkswagen Golf,"€7,500",Volkswagen,Golf,HIGHLINE,Sports Trim,2011,"312,750 km",Diesel,Manual,Hatchback,2.0 litre,140hp,9.3 sec,5,5,Red,Ireland,3,200,Mar 2023,---,,,,,
367,2018 Toyota Aygo X Press 1.0vti,"£8,975",Toyota,Aygo X,---,---,2018,"13,635 mi",Petrol,Manual,Hatchback,1.0 litre,---,---,4,5,White,Other,1,---,---,---,,,,,
368,Volkswagen Golf 2014,"€10,400",Volkswagen,Golf,BLUEMOTION,Base Trim,2014,"99,000 mi",Diesel,Unknown,Hatchback,1.6 litre,105hp,11.3 sec,5,5,White,Ireland,1,170,Feb 2022,---,,,,,
369,Volkswagen Passat Highline,"€22,000",Volkswagen,Passat,Highline,Luxury Trim,2017,"207,000 km",Diesel,Automatic,Saloon,2.0 litre,150hp,8.7 sec,5,4,Blue,Ireland,1,200,Aug 2023,5/5,,,,,
370,Mercedes-Benz GLE-Class GLE 300 d AMG Line EXT 4m,"€82,950",Mercedes-Benz,GLE-Class,AMG Line EXT,Base Trim,2019,"90,611 km",Diesel,Automatic,SUV,2.0 litre,245hp,7.2 sec,7,5,Black,Ireland,2,570,Jul 2023,---,Available,,,,
371,Nissan X-Trail 1.6d SV 7 Seats,"€19,995",Nissan,X-Trail,SV,Medium Trim,2017,"185,000 km",Diesel,Manual,SUV,1.6 litre,130hp,10.5 sec,7,4,Grey,Ireland,1,270,Jul 2023,---,Available,,,,
372,Volkswagen ID.4 GTX 299BHP Immediate Delivery,"€66,890",Volkswagen,ID.4,---,---,2022,1 km,Electric,Automatic,SUV,,---,---,---,5,White,Other,---,---,---,---,Available,---,,,---
373,Volkswagen Jetta 1.6tdi comfortline 2014,"€9,999",Volkswagen,Jetta,COMFORTLINE,Medium Trim,2014,"163,000 km",Diesel,Manual,Saloon,1.6 litre,105hp,11.7 sec,5,4,Grey,Ireland,2,200,Dec 2024,---,3 Month,,,,
374,2014 MITSUBISHI OUTLANDER PHEV PLUG IN,"€12,999",Mitsubishi,Outlander,Intense+,Base Trim,2014,"252,000 km",Petrol Plug-in Hybrid,Automatic,SUV,2.0 litre,203hp,11.0 sec,5,4,Black,Ireland,2,170,Jan 2023,5/5,,12 kWh,,,---
375,Mercedes-Benz E-Class E 220 D AMG // Night Pack /,"€44,900",Mercedes-Benz,E-Class,AVANTGARDE,Base Trim,2019,"70,160 km",Diesel,Automatic,Estate,2.0 litre,194hp,7.7 sec,5,5,Blue,Ireland,2,280,Feb 2023,5/5,Available,,,,
376,Toyota Avensis 2008,"€1,900",Toyota,Avensis,,,2008,"330,000 km",Petrol,Manual,Saloon,1.6 litre,,,5,4,Grey,Ireland,9,750,Jan 2023,,,,,,
377,Mercedes-Benz C180 AUTO EXCLUSIVE 2016 IRISH NEW,"€21,950",Mercedes-Benz,C-Class,EXCLUSIVE,Luxury Trim,2016,"91,165 km",Diesel,Automatic,Saloon,1.6 litre,116hp,11.6 sec,5,4,Black,Ireland,2,200,May 2024,5/5,Available,,,,
378,1955 Austin A50,"€5,500",Austin,A50,,,1955,"90,000 mi",Petrol,Manual,Saloon,1.5 litre,,,,,,,,,,,,,,,
379,2011 hyundai i40,"€5,800",Hyundai,i40,Executive,Luxury Trim,2011,"127,000 mi",Diesel,Automatic,Estate,1.7 litre,136hp,12.0 sec,5,5,White,Ireland,---,280,Mar 2023,5/5,,,,,
380,Transit,"€3,750",Ford,Transit,,,2009,"121,000 km",Diesel,---,Van,2.2 litre,,,3,,,,,,,,,,,,
381,BMW X5 3.0 M-Sport Plus 7 Seats,"€89,950",BMW,X5,xLine,Base Trim,2019,"56,000 km",Diesel,Automatic,SUV,3.0 litre,265hp,6.5 sec,7,4,Blue,Ireland,---,570,Feb 2023,---,,,,,
382,Renault Captur 1.0 Petrol 90bhp Limited,"€29,000",Renault,Captur,Limited,Base Trim,2022,---,Petrol,Manual,Hatchback,1.0 litre,90hp,14.0 sec,5,5,Grey,Ireland,1,210,Aug 2026,5/5,Available,,,,
383,"Renault Master, 2014 BREAKING FOR PARTS",No Price,Renault,Master,---,---,2014,---,Diesel,Manual,Van,2.3 litre,---,---,---,---,White,UK,1,---,---,---,,,,,
384,Land Rover Range Rover Evoque RR My15 Pure Tech T,"€24,900",LAND ROVER,Range Rover Evoque,PURE TECH,Base Trim,2014,"94,357 km",Diesel,Automatic,Estate,2.2 litre,150hp,8.5 sec,5,5,Grey,Ireland,2,570,Nov 2023,5/5,Available,,,,
385,Mercedes-Benz E-Class E220 D Avantgarde,"€64,900",Mercedes-Benz,E-Class,AVANTGARDE,Base Trim,2022,"3,899 km",Diesel,Automatic,Saloon,2.0 litre,194hp,7.3 sec,5,4,Blue,Ireland,1,200,---,5/5,Available,,,,
386,Ford Fiesta 1.1l 70 PS Zetec,"€15,200",Ford,Fiesta,Zetec,Base Trim,2018,"65,211 km",Petrol,Manual,Hatchback,1.1 litre,70hp,14.9 sec,5,4,Black,Ireland,1,190,Jan 2024,---,Available,,,,
387,Citroen Grand C4 Picasso Seven seats,"€3,000",Citroen,C4,,,2009,"235,429 km",Diesel,---,Hatchback,1.6 litre,,,7,---,Silver,Ireland,5,390,Sep 2023,,,,,,
388,"Volvo Other, 2013","€21,500",Volvo,Other,,,2013,---,Diesel,Automatic,Articulated Tractor Unit,12.8 litre,,,,,,,,,,,,,---,,
389,2016 Mitsubishi L200 Crew Cab Cvrt 10/23,"€18,000",Mitsubishi,L200,,,2016,"100,000 mi",Diesel,Manual,Pickup,2.4 litre,,,5,,,,,,,,,,,,
390,2016 Mitsubishi L200 Crew Cab Cvrt 10/23,"€18,000",Mitsubishi,L200,---,---,2016,"100,000 mi",Diesel,Manual,Pick Up,2.4 litre,---,---,5,4,White,Ireland,1,333,---,---,6 Month,,,,
391,2013 Volkswagen Polo 1.2 Tsi Dsg/Auto Nct 07/24,"€11,500",Volkswagen,Polo,TRENDLINE,Base Trim,2013,"90,000 mi",Petrol,Automatic,Hatchback,1.2 litre,60hp,16.1 sec,5,5,Red,Ireland,---,200,Jul 2024,---,6 Month,,,,
392,2013 Volkswagen Golf 1.2 Tsi Dsg/Auto Nct 08/24,"€12,950",Volkswagen,Golf,TRENDLINE,Base Trim,2013,"71,000 mi",Petrol,Automatic,Hatchback,1.2 litre,85hp,11.9 sec,5,5,Grey,Ireland,---,190,Aug 2024,5/5,12 Month,,,,
393,2012 Volkswagen Touran 1.4 Tsi Auto/Dsg Nct 08/24,"€11,750",Volkswagen,Touran,TRENDLINE,Base Trim,2012,"100,000 mi",Petrol,Automatic,MPV,1.4 litre,90hp,14.7 sec,7,5,Black,Ireland,---,210,Aug 2023,---,6 Month,,,,
394,2013 Volvo V40 1.6 T4  Auto Nct 08/24,"€13,750",Volvo,V40,ES,Base Trim,2013,"78,000 mi",Petrol,Automatic,Hatchback,1.6 litre,150hp,8.8 sec,5,5,Black,Ireland,---,200,Aug 2024,---,6 Month,,,,
395,2011  Volkswagen Golf Highline 1.4 Tsi Auto Dsg,"€9,950",Volkswagen,Golf,HIGHLINE,Sports Trim,2011,"100,000 mi",Petrol,Automatic,Hatchback,1.4 litre,122hp,9.5 sec,5,5,Black,Ireland,---,270,Jun 2023,---,6 Month,,,,
396,2011 Volkswagen Touran Highline 1.4 Tsi Auto/Dsg,"€11,250",Volkswagen,Touran,TRENDLINE,Base Trim,2011,"80,000 mi",Petrol,Automatic,MPV,1.4 litre,90hp,14.7 sec,7,5,Red,---,1,600,Aug 2023,---,12 Month,,,,
397,"Opel Vivaro, 2015(152)Sportive💎Warranty+Finance💎",No Price,Opel,Vivaro,,,2015,---,Diesel,Manual,Van,1.6 litre,,,3,,,,,,,,,,,,
398,2013  Volkswagen Golf Highline 1.4 Tsi Auto Dsg,"€13,950",Volkswagen,Golf,HIGHLINE,Luxury Trim,2013,"47,000 mi",Petrol,Automatic,Hatchback,1.4 litre,122hp,9.5 sec,5,5,Blue,---,1,200,Aug 2024,---,12 Month,,,,
399,2010 Audi A3 1.6 Tdi Sportback Nct 11/23,"€5,950",Audi,A3,,,2010,"140,000 mi",Diesel,Manual,Hatchback,1.6 litre,,,5,5,Red,Ireland,3,190,Nov 2023,,3 Month,,,,
400,2019 Ford Focus Zetec 1.5 Tdci Estate,"€17,950",Ford,Focus,Zetec,Base Trim,2019,"81,000 mi",Diesel,Manual,Estate,1.5 litre,120hp,10.3 sec,5,4,Grey,Ireland,---,180,---,---,12 Month,,,,
401,Citroen Grand C4 Picasso Low Mileage  New Nct  Pr,"€6,900",Citroen,Grand C4 Picasso,---,---,2011,"139,002 km",Diesel,Automatic,MPV,1.6 litre,---,---,---,5,Grey,Other,2,---,Nov 2022,---,,,,,
402,2012 Volkswagen Golf 1.2 Tsi Dsg/Auto Nct 08/23,"€10,950",Volkswagen,Golf,TRENDLINE,Base Trim,2012,"50,000 mi",Petrol,Automatic,Hatchback,1.2 litre,85hp,12.3 sec,5,5,White,Ireland,---,210,Aug 2023,---,6 Month,,,,
403,2014 Volkswagen Polo 1.2 Tsi Dsg Auto Nct 08/24,"€11,250",Volkswagen,Polo,TRENDLINE,Base Trim,2014,"60,000 mi",Petrol,Automatic,Hatchback,1.2 litre,60hp,16.1 sec,5,5,Grey,Ireland,---,200,Aug 2024,---,6 Month,,,,
404,2014 Skoda Octavia 1.6 Tdi Dsg Auto Nct 05/24,"€10,500",Skoda,Octavia,Active,Base Trim,2014,"140,000 mi",Diesel,Automatic,Saloon,1.6 litre,105hp,10.9 sec,5,4,White,Ireland,2,190,May 2024,5/5,3 Month,,,,
405,2013 Volvo V40 1.6 T4  Auto Nct 08/24,"€13,750",Volvo,V40,ES,Base Trim,2013,"70,000 mi",Petrol,Automatic,Hatchback,1.6 litre,150hp,8.8 sec,5,5,Black,Ireland,---,200,---,---,6 Month,,,,
406,Scania R500 2005,"€22,000",Scania,Other,,,2005,"810,854 km",Diesel,Automatic,Articulated Tractor Unit,15.6 litre,,,,,,,,,,,,,500,,
407,Citroen C4 2011,"€5,000",Citroen,C4,VTR+,Medium Trim,2011,---,Diesel,Manual,Hatchback,1.6 litre,92hp,12.9 sec,5,4,Blue,Ireland,2,190,Jun 2023,5/5,,,,,
408,Volkswagen T-Roc 2.0tdi 150BHP Sport DSG Automati,"€29,950",Volkswagen,T-Roc,Sport,Luxury Trim,2020,"119,551 km",Diesel,Automatic,SUV,2.0 litre,150hp,8.8 sec,5,5,Grey,Ireland,1,200,Jun 2024,5/5,Available,,,,
409,2013  Volkswagen Golf 1.2 Tsi Auto Dsg Nct 08/24,"€11,500",Volkswagen,Golf,TRENDLINE,Base Trim,2013,"50,000 mi",Petrol,Automatic,Estate,1.2 litre,85hp,12.3 sec,5,5,White,---,1,210,Aug 2024,---,6 Month,,,,
410,Ford Kuga  titanium  1.5 Eco Blue 120 BHP,"€35,500",Ford,Kuga,Titanium,Base Trim,2021,"21,000 mi",Diesel,Manual,SUV,1.5 litre,120hp,11.7 sec,5,4,Grey,Ireland,1,200,Jan 2025,5/5,Available,,,,
411,"Transit Custom, Trend 172 INC Vat💎Imaculate Van💎",No Price,Ford,Transit Custom,,,2017,"167,000 km",Diesel,Manual,Panel Van,2.0 litre,,,3,,,,,,,,,,,,
412,"Peugeot 208, 2015💎LOW LOW Mileage💎Finance Availa","€9,995",Peugeot,208,Active,Medium Trim,2015,"64,000 km",Petrol,Manual,Hatchback,1.0 litre,68hp,14.0 sec,5,4,Grey,Ireland,2,180,Feb 2023,5/5,Available,,,,
413,"Renault Trafic, 162 Business 💎LOW LOW KMS💎","€14,995",Renault,Trafic,,,2016,"90,000 km",Diesel,Manual,Panel Van,1.6 litre,,,3,,,,,,,,,,,,
414,"Ford Transit Custom, 181 High Spec Model. No Vat..","€17,495",Ford,Transit Custom,,,2018,"110,000 mi",Diesel,Manual,Panel Van,2.0 litre,,,3,,,,,,,,,,,,
415,Opel GRANDLAND X SC 1.2i 130PS 4DR,"€39,995",Opel,Grandland X,---,---,2019,"44,047 km",Petrol,Manual,MPV,1.2 litre,---,---,---,4,Black,Other,2,200,Jan 2023,---,Available,,,,
416,Nissan Bluebird,"€2,995",Nissan,Bluebird,,,1986,"98,000 mi",Petrol,Manual,Saloon,1.6 litre,,,,,,,,,,,,,,,
417,Renault Master Crewcab,"€1,234",Renault,Master,,,2017,"244,500 km",Diesel,Manual,Crew Cab,2.3 litre,,,7,,,,,,,,,,,,
418,Ford Focus 2006,€800,Ford,Focus,,,2006,"260,000 km",Petrol,Manual,Hatchback,1.4 litre,,,5,5,Red,Ireland,3,385,Apr 2022,,,,,,
419,2011 SEAT LEON S EMOCION NEW NCT 10/23,"€4,950",SEAT,Leon,STYLE,Medium Trim,2011,"131,000 mi",Diesel,Manual,Hatchback,1.6 litre,105hp,11.3 sec,5,5,White,Ireland,---,190,Oct 2021,---,,,,,
420,Honda CR-V 2.2 TDI 2012((MANUAL)),"€5,995",Honda,CR-V,ES,Medium Trim,2012,169 mi,Diesel,Unknown,SUV,2.2 litre,150hp,9.7 sec,5,5,Grey,Ireland,1,750,Nov 2023,---,,,,,
421,Audi A4 2.0 TDI 163HP SE Auto - Heated Seats - Re,"€52,990",Audi,A4,---,---,2022,15 km,Diesel,Automatic,Saloon,2.0 litre,---,---,---,4,Grey,Other,---,---,---,---,Available,,,,
422,Land Rover Range Rover Evoque 2.2 ED4 PUR Pure Te,"€28,995",LAND ROVER,Range Rover Evoque,PURE,Base Trim,2015,"95,207 km",Diesel,Manual,Estate,2.2 litre,150hp,11.2 sec,5,5,Grey,Ireland,2,280,Jul 2023,5/5,,,,,
423,Opel GRANDLAND X SC 1.2i 130PS 6 Speed,"€21,495",Opel,Grandland X,SC,Base Trim,2018,"52,489 km",Petrol,Manual,MPV,1.2 litre,130hp,11.1 sec,5,4,White,Ireland,1,200,Aug 2022,5/5,Available,,,,
424,07 Fiesta Steel 36679km 1 owner full history,"€2,999",Ford,Fiesta,,,2007,"36,679 km",Petrol,Manual,Hatchback,1.2 litre,,,5,5,Purple,Ireland,---,358,Jan 2023,,,,,,
425,2008 Opel Astra nct 12/22,"€1,250",Vauxhall,Astra,,,2008,---,Diesel,---,Hatchback,1.2 litre,,,5,---,Blue,Ireland,---,270,Dec 2022,,,,,,
426,Volvo V40 2013 - Full Volvo Service History!,"€8,500",Volvo,V40,SE,Medium Trim,2013,"192,000 km",Diesel,Manual,Hatchback,1.6 litre,115hp,12.3 sec,5,5,Silver,Ireland,---,180,Sep 2022,---,,,,,
427,"Ford Kuga Titanium, 2019","€26,900",Ford,Kuga,Titanium,Base Trim,2019,"41,000 km",Diesel,Manual,SUV,1.5 litre,120hp,12.7 sec,5,4,Blue,Ireland,1,280,Jul 2023,5/5,,,,,
428,BMW 5-Series 2011,"€7,750",BMW,5-Series,SE,Base Trim,2011,"220,000 mi",Diesel,Unknown,Saloon,2.0 litre,184hp,8.1 sec,5,4,Black,Ireland,2,270,Jun 2023,---,,,,,
429,Honda nc750s dct,"€5,895",Honda,NC,,,2017,"18,200 km",,,,745 cc,,,,,,,,,,,,,,,
430,2016 Mercedes E220d SE Premium Auto,"£16,950",Mercedes-Benz,E-Class,---,---,2016,"94,000 mi",Diesel,Automatic,Saloon,2.0 litre,---,---,5,4,Silver,Northern Ireland,2,---,---,---,,,,,
431,Nissan Almera 2006,"€1,250",Nissan,Almera,,,2006,"109,858 km",Petrol,Manual,Saloon,1.5 litre,,,4,4,Grey,Ireland,4,413,Jan 2022,,,,,,
432,Ford Fiesta 1.0t Ecoboost 95ps Titanium,"€17,000",Ford,Fiesta,Titanium,Medium Trim,2020,"96,000 km",Petrol,Manual,Hatchback,1.0 litre,95hp,10.6 sec,5,4,Black,Ireland,1,180,Jan 2024,5/5,Available,,,,
433,Kubota KX61-3 Mini Digger,"£15,500",KUBOTA,,,,,,,,,,,,,,,,,,,,,,,Excavators,
434,Mercedes-Benz GLA (182) SE Executive TDi Auto - E,"€35,895",Mercedes-Benz,GLA-Class,---,---,2018,"39,000 km",Diesel,Automatic,SUV,2.1 litre,---,---,---,5,Red,Northern Ireland,2,---,---,---,Available,,,,
435,Toyota Camry 2.5 Hybrid Platinum Model Call Today,"€43,449",Toyota,Camry,Platinum,Luxury Trim,2021,"22,950 km",Hybrid,Automatic,Saloon,2.5 litre,218hp,8.3 sec,5,4,Silver,Ireland,1,200,Jul 2025,---,Available,---,,,
436,Toyota Landcruiser 2.8 Business 5 Seater  78450 v,"€78,450",Toyota,Landcruiser,Business,Medium Trim,2022,10 km,Diesel,Automatic,SUV,2.8 litre,177hp,12.7 sec,5,5,Silver,Ireland,1,1250,---,---,Available,,,,
437,Toyota Landcruiser 2.8 Business 5 Seater Commerci,"€60,949",Toyota,Landcruiser,---,---,2020,"66,950 km",Diesel,Automatic,SUV,2.8 litre,---,---,---,5,Silver,Ireland,1,---,---,---,Available,,,,
438,Caterpillar 3306 Engine,"€1,234",CATERPILLAR,,,,,,,,,,,,,,,,,,,,,,,Spare Parts,
439,Mercedes-Benz E-Class 200 CDI Blue Efficiency 4DR,"€10,950",Mercedes-Benz,E-Class,Classic,Base Trim,2011,"145,003 km",Diesel,Automatic,Saloon,2.1 litre,136hp,10.4 sec,5,4,Silver,Ireland,2,390,May 2023,5/5,Available,,,,
440,2015 yzf450   **SPOTLESS**,"€3,550",YAMAHA,350,,,2015,130 km,,,,450 cc,,,,,,,,,,,,,,,
441,BMW 3 Series 330e M-sport Plug In Hybrid Call Tod,"€48,849",BMW,3-Series,---,---,2021,"29,950 km",Hybrid,Automatic,Saloon,2.0 litre,---,---,---,4,Grey,Ireland,1,---,---,---,Available,---,,,
442,Toyota Prius 1.8 Hybrid Luxury Call Today on 01 4,"€22,949",Toyota,Prius,Luxury,Medium Trim,2016,"44,950 km",Hybrid,Automatic,Saloon,1.8 litre,136hp,10.4 sec,5,4,Blue,Ireland,1,170,Aug 2020,5/5,Available,---,,,
443,Lexus NX 300h 2.5 Hybrid Executive Beige Leather,"€42,949",Lexus,NX,Executive,Medium Trim,2019,"109,850 km",Hybrid,Automatic,Estate,2.5 litre,197hp,9.2 sec,5,4,Black,Ireland,1,280,Jan 2023,5/5,Available,---,,,
444,Ford Fiesta 1.0 Titanium Ecob Automatic 5Dr Call,"€20,949",Ford,Fiesta,Titanium,Medium Trim,2019,"9,950 km",Petrol,Automatic,Hatchback,1.0 litre,100hp,12.2 sec,5,4,Red,Ireland,1,270,Jul 2023,5/5,Available,,,,
445,SEAT Ibiza 1.0 Tsi Xcellence 5DR Call Today on 01,"€19,449",SEAT,Ibiza,XCELLENCE,Luxury Trim,2019,"36,950 km",Petrol,Manual,Hatchback,1.0 litre,95hp,10.9 sec,5,5,Black,Ireland,1,190,Jul 2023,5/5,Available,,,,
